slug	group	scene_ru
flirt-1	flirt	бар: женщина спиной завязывает разговор, заинтересованный мужчина смотрит с интересом
flirt-2	flirt	заряженный флирт в баре, женщина спиной, мужчина напротив лукаво улыбается с искрой
flirt-3	flirt	удержанный заряженный момент, женщина спиной совсем близко к мужчине, прямой зрительный контакт
flirt-4	flirt	женщина спиной сосредоточена на обаятельном мужчине, толпа вечеринки размыта в боке
flirt-5	flirt	женщина спиной протягивает руку, мужчина с играющей улыбкой тянется навстречу, клуб
flirt-6	flirt	женщина спиной, приглашающий жест, мужчина с загоревшимися глазами на грани «да», бар
flirt-7	flirt	женщина спиной, мужчина с мягкой признательной улыбкой, достойный момент без взаимности, бар
flirt-8	flirt	женщина спиной в синхроне с расслабленным открытым мужчиной за столиком в баре
flirt-9	flirt	женщина спиной неспешно отходит от барной стойки, мужчина смотрит вслед заинтригованно
flirt-10	flirt	женщина спиной протягивает телефон, мужчина с тёплой улыбкой набирает номер, бар
intimacy-1	intimacy	пара дома вечером, женщина спиной бережно начинает важный разговор, партнёр-мужчина слушает
intimacy-2	intimacy	женщина спиной остаётся в контакте в напряжённый момент, её ладонь на груди партнёра-мужчины, дома
intimacy-3	intimacy	женщина спиной кладёт руку на плечо расстроенному партнёру-мужчине у окна после ссоры, примирение
intimacy-4	intimacy	женщина спиной искренне извиняется лицом к партнёру-мужчине, он вдумчиво слушает, дома
intimacy-5	intimacy	женщина спиной мягким жестом ладони ставит границу, близкий партнёр-мужчина принимает, дома
intimacy-6	intimacy	женщина спиной рядом с поникшим партнёром-мужчиной на диване, рука на его спине, держит пространство
intimacy-7	intimacy	женщина спиной открыто делится уязвимым из опоры, партнёр-мужчина смотрит с теплом и уважением, дома
intimacy-8	intimacy	женщина спиной открыто принимает критику партнёра-мужчины, не защищаясь, склонённая голова, дома
intimacy-9	intimacy	женщина спиной за кухонным столом с чаем открыто говорит о будущем, партнёр-мужчина вовлечён
intimacy-10	intimacy	женщина спиной, ладонь у своей груди, честно признаёт ревность, партнёр-мужчина заверяет доверие, дома
