slug	source	scene_ru
flirt-1	log	бар: герой спиной завязывает разговор, заинтересованная собеседница
batch-2	log	беседа один-на-один, герой спиной мягко вытягивает мнение собеседника
batch-3	log	тёплый разговор один-на-один в уютной комнате, мужчина спиной слушает, собеседница раскрывается
charisma-1	log	мужчина спиной входит через дверь на оживлённую вечеринку, гости с бокалами оборачиваются
charisma-2	log	мужчина спиной завязывает разговор с заинтересованной незнакомкой в кофейне
charisma-3	log	мужчина спиной поглощён рассказом сияющей жестикулирующей собеседницы за ужином при свечах
charisma-4	log	мужчина спиной во главе длинного стола, вся компания смеётся и тянется к нему, свечи и бокалы
charisma-5	log	мужчина спиной с жестом рассказчика, круг друзей в баре заворожённо слушает
charisma-6	log	мужчина спиной перекидывается остротами с ухмыляющимся собеседником в баре, друзья смеются
charisma-7	log	мужчина спиной в смокинге говорит комплимент польщённой собеседнице на коктейльном приёме
charisma-8	log	мужчина спиной с прощальным касанием плеча собеседницы на светском вечере, она хочет ещё
leadership-1	log	фидбэк один-на-один в стеклянной переговорной, руководитель спиной жестикулирует, сотрудник слушает
leadership-2	log	руководитель спиной передаёт папку с проектом сотруднику в офисе, на фоне доска с планом
negotiation-2	log	рукопожатие над подписанным контрактом в переговорной, герой спиной закрывает сделку
pressure-1	log	пресс-конференция, мужчина спиной за трибуной перед толпой журналистов с микрофонами и вспышками
repair-1	log	примирение дома, мужчина спиной держит руку расстроенной женщины на диване в тёплой гостиной
requests-1	log	сотрудник спиной показывает боссу ноутбук с тревожными данными в кабинете, босс слушает серьёзно
gravitas-7	crafted	кризис-переговорная, лидер спиной спокойно даёт команде опору, серьёзные но доверяющие лица
gravitas-8	crafted	накалённая переговорная, мужчина спиной поднимает ладонь «стоп», оппоненты замирают
gravitas-9	crafted	шумная переговорная затихает, лидер спиной говорит тихо и медленно, все подаются вперёд
gravitas-10	crafted	командный центр после кризиса, лидер спиной спокойно благодарит уставшую команду, экраны успокаиваются
stage-1	crafted	спикер спиной выходит к большому залу под прожектором, аудитория поднимает взгляд
stage-2	crafted	спикер спиной на сцене держит паузу, луч света, зал во внимании
stage-3	crafted	мужчина спиной говорит прямо в студийную камеру с подсветкой, оператор рядом
stage-4	crafted	спикер спиной у края сцены делает глубокий вдох перед полным залом
stage-5	crafted	спикер спиной спокойно отвечает на резкий вопрос из зала, слушатель с микрофоном стоит
stage-6	crafted	спикер спиной собран после сбоя слайдов, тёмный экран позади, зал ждёт
stage-7	crafted	спикер спиной рассказывает историю, зал заворожён, тёплый кинематографичный свет
stage-8	crafted	спикер спиной даёт финальный призыв с поднятой рукой, зал на подъёме
stage-9	crafted	мужчина спиной на пресс-подходе перед камерами и микрофонами журналистов
stage-10	crafted	спикер спиной тихо и тепло обращается к огромному залу, один слушатель крупным планом тронут
stage-11	crafted	спикер спиной уверенно ведёт зал без слайдов у пустого/сбойного экрана (импровизация)
